종목코드,회사명,평가당시금액(원),현재가(원),거래예정수량,리밸런싱,평가금액변동률,예상이익금액(원),거래예정금액(원),보유수량,평가순위,Cur_Amount
A072950,빛샘전자,,"5,500",-80,전량매도,,,"-440,000",80,,
A005930,삼성전자,,"80,000",-20,전량매도,,,"-1,600,000",20,,
A054540,삼영엠텍,,"3,710",-50,전량매도,,,"-185,500",50,,
A048830,엔피케이,,"1,522",-130,전량매도,,,"-197,860",130,,
A079170,한창산업,,"7,370",-100,전량매도,,,"-737,000",100,,
A039740,한국정보공학,"3,705","3,155",176,매수,-14.84,"96,800","558,300",140,24.35,"441,700"
A033250,체시스,"1,250","1,171",503,매수,-6.32,"39,737","590,150",350,23.950000000000003,"409,850"
A408900,스튜디오미르,"9,170","8,680",55,매수,-5.34,"26,950","479,200",60,21.3,"520,800"
A252500,세화피앤씨,915,872,946,매수,-4.7,"40,678","825,600",200,21.45,"174,400"
A331380,포커스에이치엔에스,"2,100","2,010",397,매수,-4.29,"35,730","799,000",100,17.85,"201,000"
A024940,PN풍년,"4,405","4,225",86,매수,-4.09,"15,480","366,250",150,22.1,"633,750"
A016920,카스,"1,486","1,428",672,매수,-3.9,"38,976","960,016",28,9.4,"39,984"
A045060,오공,"3,205","3,195",252,매수,-0.31,"2,520","808,300",60,16.3,"191,700"
A215480,토박스코리아,"3,565","3,415",292,전량매수,-4.21,"43,800","1,000,000",0,17.65,
A153490,우리이앤엘,"1,047","1,010",990,전량매수,-3.53,"36,630","1,000,000",0,9.7,
A052460,아이크래프트,"3,320","3,205",312,전량매수,-3.46,"35,880","1,000,000",0,14.0,
A038950,파인디지털,"4,400","4,255",235,전량매수,-3.3,"34,075","1,000,000",0,21.9,
A006920,모헨즈,"3,625","3,510",284,전량매수,-3.17,"32,660","1,000,000",0,15.2,
A046310,백금T&A,"2,705","2,630",380,전량매수,-2.77,"28,500","1,000,000",0,8.05,
A332370,아이디피,"3,400","3,320",301,전량매수,-2.35,"24,080","1,000,000",0,24.4,
A198080,엔피디,"2,405","2,355",424,전량매수,-2.08,"21,200","1,000,000",0,19.3,
A086060,진바이오텍,"3,985","3,905",256,전량매수,-2.01,"20,480","1,000,000",0,19.4,
A025880,케이씨피드,"2,495","2,470",404,전량매수,-1.0,"10,100","1,000,000",0,21.2,
A017000,신원종합개발,"2,930","2,905",344,전량매수,-0.85,"8,600","1,000,000",0,24.5,
A018680,서울제약,"3,340","3,315",301,전량매수,-0.75,"7,525","1,000,000",0,18.0,
A126640,화신정공,"1,464","1,457",686,전량매수,-0.48,"4,802","1,000,000",0,23.0,
A045510,정원엔시스,"1,298","1,295",772,전량매수,-0.23,"2,316","1,000,000",0,23.4,
A203450,유니온커뮤니티,"3,285","3,280",304,전량매수,-0.15,"1,520","1,000,000",0,20.0,
A084870,TBH글로벌,"1,797","1,805",554,전량매수,0.45,"-4,432","1,000,000",0,2.8,
A263020,디케이앤디,"2,745","2,770",361,전량매수,0.91,"-9,025","1,000,000",0,15.3,
